URL,Emails,Phone Numbers,Social Media Links
https://Www.Leo-Pharma.Com,[],"['0076-14.67', '0012-3.4593-9', '0026.6109', '565.191.5457', '006-5.1352', '216.963.3192', '0026.0878.0026.1321', '218.243.0846', '0014.9616', '007-1.2015', '7316961201', '0013.5546', '0013.7193', '008.0276', '0077.4776', '0 0 22', '0077.0027', '0 0 28', '0013.04.0013.059', '412.123.2719', '211.232.7116', '411.109.2764', '514.709.6731', '0051.0115', '0 0 20', '7 0 14', '007.5079', '3 0 4', '0052.0879', '0038.9671.9671', '145 0 2', '0077.0257', '3 26 14', '231.427.5641', '0078.1757', '039.159.0012', '009-4.1467-4', '0022716', '078.604.9821', '0007-1.4695-1', '5 5 11', '978.463.3455', '0022579', '8 7 13', '0014.1435', '00220 0 94 72', '0014.048', '005.9005', '629.159.1879', '0077.0283', '0026.6373.0039', '0051.25', '0059.1218.1218', '45 4494 5888', '009.6009', '00221440', '282.777.6431', '0024.0794', '0078.2616', '0013.0532', '0051.9668', '0012.1527', '3 0 14', '006.661', '0007.0384', '0220 0 94', '0 0 94', '+45 4494 5888', '0014.0961', '0083.1962.0333', '3 0 0', '847.286.6553', '0064.0661', '0039.159.0012.3192', '828736-0902', '0051.1654', '0022900', '007.1115', '0013.0827', '007.2553-1.5714', '0013.0219.0307.0167', '0013.0269', '0078-1.0726.7424', '0045.1244.1244', '3 14 14', '482 0 2', '0889039047']","['https://twitter.com/LEOHealthySkin', 'https://www.linkedin.com/company/leo-pharma', 'https://www.youtube.com/user/leopharmaglobal', 'https://www.facebook.com/LEOPharmaAS']"
https://Scolmore.Com,[],"['00222024-01-09', '18 0 9', '00222024-03-28', '00222024-07-05', '00222023-05-22', '00222023-11-13', '1719395896', '0214271404', '0815024904', '006.535', '00222024-05-07', '00222024-03-27', '1719398085', '00222022-05-30', '1725438860', '0 0 20', '002215', '000000', '00222024-07-12', '+44 (0) 1827 6345', '00222022-05-20', '0 0 24', '0 0 19', '00222024-10-08', '002212', '00222022-05-09', '1 1 0', '1740558555', '1719395944', '00222022-06-27', '00222023-05-19', '00222025-02-12', '1719396239', '00222025-03-07', '1719395521', '1719395522', '00222024-09-30', '1719396006', '00222023-06-29', '00222024-11-04', '002213', '00222023-05-17', '1722511352', '9 9 0', '1740559004', '2 2 4', '1739349523', '002211', '00222023-05-27', '005-6.311.011', '002214', '00222023-11-06', '7144480175', '00222024-09-09', '1719396148', '00222024-08-29', '2321626314', '1719398056', '1719395768', '1719396089', '002210', '00222023-07-06', '002216', '00222023-07-04', '00222023-11-20', '586 10 4', '9 0 0118', '1740559003', '00222023-06-30', '00222023-05-20', '00222023-05-18']","['https://www.linkedin.com/company/scolmore-international-limited', 'https://twitter.com/ClickScolmore', 'https://www.facebook.com/ClickScolmore', 'https://www.instagram.com/scolmore_group']"
Https://Www.Sofitel-Philadelphia.Com,['sofitelphiladelphia@sofitel.com'],"['4820659534', '215-564-7453', '855-363-4014', '1742386760', '008000', '215-569-8300', '316 06 10', '1720687035', '9999999999', '1742385391', '218 06 10', '320 06 10', '0 0 512', '000000']","['https://twitter.com/SofitelPhilly', 'http://instagram.com/sofitelphilly', 'https://www.facebook.com/SofitelPhiladelphia', 'https://www.linkedin.com/company/sofitel-philadelphia']"
Https://Www.Pebblebarnyc.Com/,"['reservations@pebblebarnyc.com', 'info@pebblebarnyc.com', 'press@pebblebarnyc.com']","['1636066332', '2091 49 49', '2091 41 21', '1646344905', '1646345105', '7345132743', '0 0 61', '1698432623', '5 2 0', '1738785252', '(917) 540-4494', '2091 41 45', '1636065360', '2091 49 45', '7909 41 41', '1741876408', '7909 49 21', '7865865735', '1561060328', '7909 41 17', '3223995340', '7246137420', '7909 49 45', '1636067904', '4978769033', '2091 49 25', '1649786092', '2091 25 45', '3141925352', '7909 41 45', '7909 17 45']",['http://www.facebook.com/2008']
Https://Enovis.Com,[],"['800.321.9549', '925 0 3', '0314850738', '59 5 12', '0 0 24', '41 19 12', '725 0 1', '05 12 19', '6354814537', '59 19 19', '55 0 4', '1332131171', '41 5 5', '075 0 5', '6365644625', '59 12 5', '0 0 401', '59 6 10', '25 12 8', '6 6 6', '25 12 2', '6337387942', '2295138364', '35 0 1']","['http://www.facebook.com/EnovisMedTech', 'https://www.linkedin.com/company/enovis', 'https://twitter.com/enovismedtech', 'https://www.instagram.com/EnovisMedTech', 'https://www.youtube.com/user/djoglobal']"
https://Www.Verideagroup.Com,[],"['000000', '1738700517', '1742375073', '1738912389', '9062283900', '0 0 1', '906-228-3900', '0048-4569-9495-89', '1742219741']",['https://www.facebook.com/VerideaGroup']
Http://Www.Pfizer.Com,[],"['1396801868', '0 0 80', '1852113022', '1285389487', '1223847950', '0 0 68', '0919848710', '000484', '6367888498', '0 0 100', '0 0 58', '0 0 3', '0023913', '1241717689']","['https://twitter.com/Pfizer', 'https://www.linkedin.com/company/pfizer', 'https://www.instagram.com/pfizerinc', 'https://www.facebook.com/Pfizer']"
Http://Www.Goldcreekcountryclub.Com.Au/Home,['you@company.com'],"['929 583 958', '846 783 846', '154 179 150', '5228 2 14', '49 48 48', '929 333 958', '71 458 42', '8 256 8', '237 42 271', '8000000000', '750 842 767', '9 464 464', '+604800', '196 150 179', '196 858 225', '9 0 35', '0000004440', '055 0 94', '71 833 104', '5 192 31', '242 171 254', '929 458 896', '2616169452', '00000000000000044', '304 958 271', '496 587 738', '842 829 829', '49 0 112', '929 833 958', '246 154 233', '6672363281', '71 333 104', '858 254 829', '5 339 255', '7715 22 14', '1738463705', '846 767 842', '38 504 379', '1727669044', '842 817 846', '500 408 258', '200 833 171', '150 217 150', '196 150 212', '51 0 48', '750 829 737', '031 0 269', '645 0 138', '8 119 8', '78 504 256', '02 5101 4100', '005-46.781-87', '137 742 167', '554 958 521', '0 0 23', '49 64 0', '000 1000', '71 708 42', '66 0 0', '408 500 167', '24 24 0', '0 0 1000', '817 80 80', '804 137 775', '183 0 80', '80 80 35', '1728094401', '000000', '0 0 24', '5228 24 12', '804 958 771', '588 500 833', '863 229 863', '800 846 817', '504 119 393', '413 0 192', '1727669045', '158 167 167', '0 0 512', '0 0 0', '29 0 0', '9 0 184', '138 771 138', '71 583 104', '929 708 896', '421 0 18', '0 0 320', '94 0 0', '737 42 771', '804 846 783', '5228 4 22', '00626161694526672', '213 0 57', '7715 4 12', '929 208 896', '961 0 192', '5 9 99', '7715 24 2', '7 141 224', '961 192 192', '14 0 55', '71 208 42', '150 229 154', '1731731295', '067 48 152', '0 0 384', '487 42 521', '8 0 26', '800 167 829', '0 0 448', '5 9 132', '8 12 26', '8920985006', '16 0 0']",[]
Http://Www.Jmfamily.Com,[],"['1849450548', '0 0 345', '1849450551', '393 8 256', '9176842353', '9017540479', '1849021753', '1068765061', '5 200 200', '008991', '1849450562', '1626976848', '3796257440', '6407015950', '49 48 48', '0 0 309', '1742358745', '67 0 129', '9642283990', '1849323646', '1469615051', '2367903827', '0 1 6', '4535022534', '1849323649', '1849450542', '2712700913', '9 0 35', '4067950081', '1806656201', '00893019480242', '5052244882', '2050871555', '119 8 8', '1807276715', '5460732614', '8395126322', '0089953', '6137157762', '4694975535', '1343280993', '4974988397', '5198806531', '61 0 196', '5704821888', '1349691019', '0062175747519', '1741442493', '1987162921', '1848866820', '006080909', '7395958681', '4078952874', '1740166152', '3222020465', '6008930194', '5888492439', '5039462156', '5 339 255', '8618121012', '4789598121', '03 238 35', '5858330336', '1790478730', '1738964898', '1793666780', '0 0 218', '1806206871', '0056223', '008194743936', '51 0 48', '1849323657', '9729669444', '3852256798', '000661076561231', '1104460891', '6121811294', '1741897978', '6669212911', '1555025335', '8548638687', '03 238 48', '6549336727', '1800066107', '1849450560', '1768966180', '7542535563', '8521052703', '1740056223', '5279186217', '4140272999', '5 56 256', '9149932374', '1 0 47', '0 0 209', '5396263927', '006756', '1848866827', '1849450550', '1849450538', '1697139524', '3654339285', '7662977992', '4 12 12', '8062460062', '1849323653', '5503146272', '3296812711', '1739375991', '1737381699', '1802265473', '000000', '1737058160', '5250422753', '4212107810', '5559579518', '1849323654', '0 0 265', '1848780560', '3 0 6', '5968826197', '36 0 156', '1849323645', '4641562774', '9144076632', '1849450559', '9093369680', '5155371035', '1792195865', '0 0 512', '0008991', '9 0 184', '6640461982', '05 0 33', '4548091411', '6122940755', '1849323650', '1849501571', '2684762516', '1849323644', '1737668749', '2615915168', '1849021756', '5038654139', '66 0 196', '1276986403', '119 8 256', '2240630737', '1805493046', '6 0 12', '1738118193', '1740089953', '4622841334', '6487841375', '1739541788', '1304812247', '1802348744', '1336627410', '0 0 220', '5 9 99', '1849450540', '1804950915', '3248872221', '7 141 224', '1294353923', '4122646857', '3996547950', '1849323652', '03 0 33', '6 6 0', '8168070986', '9012769351', '111 248 248', '1849038321', '0 0 240', '8758169888', '0 0 448', '00913819634117', '1789815168', '1742075647', '8931277910', '5 9 132', '2365776967', '8 12 26', '1849323643', '8839403436']","['https://www.instagram.com/jmfamilyenterprises', 'https://www.linkedin.com/company/jm-family-enterprises', 'https://www.instagram.com/reel', 'https://www.instagram.com/p', 'https://www.facebook.com/JMFamilyEnterprises']"
https://Www.Smhg.Ca,"['example@outlook.com', 'smeccs@smhg.ca', 'hall@smhg.ca']","['1640128219', '1604077560', '1604077580', '1582065586', '1629474324', '1632860024', '1628622383', '1619638686', '1628108561', '780-472-4506', '002533', '3796883682', '1619643177', '000000', '1619643168', '1619643186', '1634578742', '1647968672', '1519311655', '1640128211', '1628625407', '0 0 1', '1636999135', '1629474214', '1999999998', '1631562320', '1628625398', '1632855441', '+604800', '0 0 16', '1462453720', '1739563808', '1619643810', '1637342771', '780-472-4785', '1638912699', '800-472-6169', '1590102260', '1519991930', '1636048514', '1619639653', '1738480049', '1608331244', '1560457399', '1638916720', '1623958700', '1619643801', '1619023074', '0 0 0', '1636049002', '1636398506', '1584380932', '1632848242', '1632856933', '0 0 2', '1626464038', '1638911248', '1628787012', '1670022078', '1729197227', '1587583636', '3782298933', '1628624547', '1999999999', '1632856925', '0024654', '1632848314', '1607545320', '(999) 999-9999', '0022078152', '780-473-5621', '1560457663', '1607546353', '1560457295', '780-472-4508']","['https://www.facebook.com/stmichaelshealthgroup', 'https://www.youtube.com/user/StMichaelsHealthgrp', 'https://www.instagram.com/stmichaelshealthgroup', 'https://twitter.com/SMHG', 'http://www.facebook.com/stmichaelshealthgroup']"
